일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2026/07/16","255000","-24500","-8.77","264500","265500","252500","27001478","6939369046582","1490801045040000","5846278608"
"2026/07/15","279500","16500","6.27","283500","284500","273000","24873414","6952196477350","1634034870936000","5846278608"
"2026/07/14","263000","8500","3.34","255000","270000","247000","40086496","10415841854750","1537571273904000","5846278608"
"2026/07/13","254500","-30500","-10.70","285000","292500","253000","31882652","8455131369000","1487877905736000","5846278608"
"2026/07/10","285000","7000","2.52","291000","298000","282000","20088811","5816051148000","1666189403280000","5846278608"
"2026/07/09","278000","500","0.18","288500","291500","267500","29703616","8319219373155","1625265453024000","5846278608"
"2026/07/08","277500","-18500","-6.25","285500","300000","273500","33525758","9556310278550","1622342313720000","5846278608"
"2026/07/07","296000","-22000","-6.92","307000","310000","286000","32421032","9581962248113","1730498467968000","5846278608"
"2026/07/06","318000","8500","2.75","320000","325000","303000","23872879","7520834251000","1859116597344000","5846278608"
"2026/07/03","309500","23500","8.22","288500","313000","283500","31520538","9454828621194","1809423229176000","5846278608"
"2026/07/02","286000","-28500","-9.06","290000","304000","281500","38905074","11362882136500","1672035681888000","5846278608"
"2026/07/01","314500","-19500","-5.84","334500","339000","311500","24968382","8016067724007","1838654622216000","5846278608"
"2026/06/30","334000","11000","3.41","323500","343000","321000","29237216","9724402126750","1952657055072000","5846278608"
"2026/06/29","323000","-16500","-4.86","331000","335500","316000","35436521","11470650838416","1888347990384000","5846278608"
"2026/06/26","339500","-19000","-5.30","354000","356500","321500","39735951","13408352495497","1984811587416000","5846278608"
"2026/06/25","358500","18000","5.29","359500","362500","352000","36157158","12953176257708","2095890880968000","5846278608"
"2026/06/24","340500","30500","9.84","314000","341000","314000","47809959","15837943400424","1990657866024000","5846278608"
"2026/06/23","310000","-43500","-12.31","347500","353000","310000","41266630","13714975503784","1812346368480000","5846278608"
"2026/06/22","353500","-500","-0.14","343000","363000","342000","24330451","8592603997000","2066659487928000","5846278608"
"2026/06/19","354000","-8500","-2.34","372500","374500","346250","43284898","15606827170070","2069582627232000","5846278608"
"2026/06/18","362500","16000","4.62","345000","363000","344500","32764450","11580404055091","2119275995400000","5846278608"
"2026/06/17","346500","3500","1.02","332000","348000","331500","18134051","6145208668000","2025735537672000","5846278608"
"2026/06/16","343000","6000","1.78","343000","345500","332500","17548685","5970562049352","2005273562544000","5846278608"
"2026/06/15","337000","14500","4.50","342500","344500","334000","21500067","7267809113959","1970195890896000","5846278608"
"2026/06/12","322500","23500","7.86","326000","339000","320000","31006148","10243164332536","1885424851080000","5846278608"
"2026/06/11","299000","-3500","-1.16","290500","306500","287500","31420307","9359984196250","1748037303792000","5846278608"
"2026/06/10","302500","-19500","-6.06","311000","314500","295250","27050362","8222479219022","1768499278920000","5846278608"
"2026/06/09","322000","26500","8.97","310000","324000","300000","30124249","9419668803569","1882501711776000","5846278608"
"2026/06/08","295500","-33500","-10.18","293000","315500","292500","38929682","11802483835807","1727575328664000","5846278608"
